,cpu_rank,cpu_name
299,300,Intel Core i5-5250U
300,301,Intel Pentium 4415U
301,302,Intel Pentium Silver N5000
302,303,Intel Core i7-720QM
303,304,AMD Ryzen 3 3200U
304,305,AMD Ryzen 3 3250U
305,306,Intel Core i7-2677M
306,307,Intel Core i7-4600U
307,308,Intel Core i7-720QM
308,309,Intel Core i5-3427U
309,310,Intel Core i7-3517U
310,311,Intel Core i3-1000NG4
311,312,Intel Core i5-4210U
312,313,Intel Core i5-580M
313,314,Intel Core i3-3120M
314,315,Intel Core i7-2637M
315,316,Intel Core i5-4200U
316,317,Intel Core i5-560M
317,318,Intel Core i3-6006U
318,319,Intel Core i3-6100U
319,320,AMD FX-7600P
320,321,Intel Pentium 4405U
321,322,AMD Athlon 300U
322,323,Intel Core i7-8500Y
323,324,Intel Core i3-5020U Processor
324,325,Intel Celeron 6305
325,326,Intel Celeron 6205
326,327,AMD Ryzen 3 2200U
327,328,Intel Core i5-3337U
328,329,AMD Athlon Gold 3150U
329,330,Intel Core i3-5010U
330,331,Intel Core i5-3337U
331,332,AMD A8-5550M
332,333,Intel Core i7-2617M
333,334,AMD A10-5745M
334,335,Intel Core i3-4030U
335,336,Intel Core i7-4500U
336,337,AMD Athlon Silver 3050U
337,338,Intel Core i5-480M
338,339,AMD Phenom II X4 N950
339,340,M7-6Y75
340,341,Intel Core m7-6Y75 Processor
341,342,Intel Core i5-540M
342,343,Intel Core i5-520M
343,344,Intel Core i3-3110M
344,345,Intel Core i3-5005U
345,346,Intel Core i5-460M
346,347,AMD Phenom II X3 N850
347,348,Intel Core i3-390M
348,349,AMD A10-4600M
349,350,Intel Core i3-2370M
350,351,Intel Celeron N4120
351,352,Intel Core i5-2557M
352,353,Intel Core i3-2375M
353,354,Intel Core i3-4005U
354,355,Intel Core i5-3317U
355,356,Intel Core i5-3317U
356,357,AMD Phenom II X4 N930
357,358,Intel Core i3-2350M
358,359,Intel Core i5-4250U
359,360,Intel Core i3-4010U
360,361,Intel Core 2 Quad Q9000
361,362,Intel Core m7-6Y57
362,363,Intel Core i5-450M
363,364,Intel Celeron N4100
364,365,Intel Pentium N3700
365,366,Intel Core i5-4210Y
366,367,AMD A8-3530MX
367,368,Intel Pentium N3710
368,369,Intel Core i3-380M
369,370,Intel Core i5-430M
370,371,AMD A9-9425
371,372,Intel Core i3-3227U
372,373,Intel Core i3-2348M
373,374,AMD FX-7500
374,375,Intel Core i5-4200Y
375,376,Intel Pentium N3540
376,377,AMD A8-3510MX
377,378,AMD A8-3520M
378,379,AMD A4-9125
379,380,AMD A6-7310
380,381,AMD A6-9225
381,382,Intel Pentium N3530
382,383,AMD A6-6310
383,384,Intel Pentium 3550M
384,385,Intel Pentium N4200
385,386,AMD A9-9420
386,387,AMD A6-3430MX
387,388,Intel Core i3-2330M
388,389,Intel Core i3-2328M
389,390,Intel Core i5-3339Y
390,391,Intel Core 2 Duo P9700
391,392,Intel Core 2 Duo T9800
392,393,AMD A4-7210
393,394,Intel Celeron N2930
394,395,Intel Pentium N3520
395,396,Intel Core 2 Duo P8800
396,397,Intel Core m5-6Y57
397,398,Intel Pentium 2129Y
398,399,Intel Core i7-7Y75
399,400,Intel Celeron N3450
400,401,Intel Core i3-370M
401,402,AMD Phenom II X3 N850
402,403,AMD A4-9120
403,404,AMD A6-9220
404,405,Intel Core M5-6Y54
405,406,Intel Core M-5Y71
406,407,Intel Celeron 5205U
407,408,Intel Core i5-2467M
408,409,AMD Phenom II X2 N660
409,410,AMD Phenom II X4 P960
410,411,AMD A8-3500M
411,412,Intel Core i3-2310M
412,413,Intel Celeron N2920
413,414,Intel Pentium 2020M
414,415,Intel Core i3-3217U
415,416,AMD A6-5200
416,417,AMD A6-3420M
417,418,Intel Pentium N3510
418,419,Intel Core 2 Duo T9600
419,420,Intel Celeron N4020
420,421,Intel Celeron N4500
421,422,AMD A4-6210
422,423,AMD A6-9210
423,424,AMD A9-9400
424,425,Intel Core i5-7Y54
425,426,AMD Phenom II X3 N830
426,427,Intel Pentium Gold 4425Y
427,428,AMD A6-3410MX
428,429,AMD A6-3400M
429,430,Intel Core M-5Y70
430,431,Intel Core i3-350M
431,432,AMD A8-4500M
432,433,Intel Celeron N2840
433,434,Intel Pentium B980
434,435,Intel Celeron 2950M
435,436,Intel Core i5-4202Y
436,437,Intel Core M-5Y51
437,438,Intel Core i5-2537M
438,439,Intel Core i3-2367M
439,440,Intel Celeron N2830
440,441,Intel Core i3-2365M
441,442,Intel Core 2 Duo P9600
442,443,Intel Pentium B970
443,444,Intel Core i7-640LM
444,445,Intel Core 2 Duo T9550
445,446,AMD A4-9120e
446,447,Intel Celeron N4000
447,448,Intel Pentium B960
448,449,Intel Atom x5-Z8550
449,450,AMD A9-9420e
450,451,Intel Core i3-330M
451,452,Intel Core i3-3229Y
452,453,Intel Core 2 Duo P8700
453,454,Intel Core m3-6Y30
454,455,Intel Core 2 Duo T8700
455,456,Intel Core 2 Duo T9400
456,457,Intel Core 2 Duo T9300
457,458,AMD A8-7410
458,459,AMD A8-4555M
459,460,Intel Core M-5Y31
460,461,Intel Core M-5Y10
461,462,Intel Core 2 Duo P8600
462,463,Intel Pentium P6300
463,464,Intel Core 2 Duo P8400
464,465,AMD Phenom II X3 P840
465,466,AMD A10-7300B
466,467,AMD A10-7300
467,468,Intel Core 2 Duo T7700
468,469,Intel Core i7-620LM
469,470,Intel Celeron N2815
470,471,Intel Core 2 Duo SP9400
471,472,Intel Core 2 Duo P9500
472,473,Intel Core 2 Duo T9300
473,474,Intel Core 2 Duo P7570
474,475,AMD Turion II P560
475,476,Intel Core 2 Duo SP9600
476,477,Intel Pentium B950
477,478,Intel Core 2 Duo T8300
478,479,AMD A6-9220e
479,480,Intel Pentium 3558U
480,481,Intel Pentium 2127U
481,482,Intel Pentium 3556U
482,483,AMD Phenom II X3 P820
483,484,Intel Pentium P6200
484,485,Intel Atom Z3775
485,486,AMD A4-5000
486,487,Intel Celeron 2957U
