,gpu_rank,gpu_name
317,318,NVIDIA NVS 5400M
318,319,AMD Radeon HD 6750M
319,320,AMD Radeon RX Vega 2
320,321,NVIDIA NVS 5400M
321,322,NVIDIA GeForce 710M
322,323,NVIDIA GeForce GT 640M LE
323,324,NVIDIA GeForce 710M
324,325,AMD Radeon HD 8650G + HD 8670M
325,326,AMD Radeon R5 M255
326,327,Intel? Iris? graphics 5100
327,328,NVIDIA GeForce GTS 360M
328,329,NVIDIA GeForce GT 640M LE
329,330,NVIDIA GeForce GT 550M
330,331,NVIDIA GeForce 820M
331,332,NVIDIA GeForce GT 640M LE
332,333,AMD Radeon R6 M255DX
333,334,NVIDIA Quadro K610M
334,335,NVIDIA GeForce GT 550M
335,336,Intel HD Graphics 4600
336,337,NVIDIA GeForce MX110
337,338,AMD Radeon HD 6730M
338,339,AMD Radeon HD 8670M
339,340,NVIDIA GeForce 820M
340,341,AMD Radeon HD 7520G + 7670M
341,342,NVIDIA GeForce MX110
342,343,AMD Radeon R7 M260
343,344,AMD Radeon HD 7670M
344,345,NVIDIA GeForce GTX 260M
345,346,AMD Radeon HD 8670M
346,347,NVIDIA GeForce 920MX
347,348,NVIDIA GeForce 920MX
348,349,Intel HD Graphics 540
349,350,AMD Radeon HD 6730M
350,351,NVIDIA GeForce GT 550M
351,352,AMD Radeon R6 + R5 M230
352,353,NVIDIA GeForce GT830M
353,354,NVIDIA GeForce GTS 160M
354,355,NVIDIA GeForce GT 540M
355,356,NVIDIA GeForce GT 630M
356,357,Intel Iris Graphics 6100
357,358,AMD Radeon HD 7670M
358,359,Intel HD Graphics 5000
359,360,AMD Radeon HD 8550M
360,361,AMD Radeon HD 7670M
361,362,NVIDIA GeForce GT 630M
362,363,AMD Radeon HD 6570M
363,364,NVIDIA GeForce GT 540M
364,365,AMD Radeon R5 M320DX
365,366,Intel HD Graphics 6000
366,367,NVIDIA GeForce 810M
367,368,NVIDIA GeForce GT 540M
368,369,NVIDIA GeForce GT 620M
369,370,NVIDIA GeForce GT 620M
370,371,AMD Radeon HD 7650M
371,372,ATI Radeon HD4830
372,373,ATI Mobility Radeon HD 5850
373,374,AMD Radeon HD 6650M
374,375,AMD Radeon R5 M430
375,376,AMD Radeon HD 8570M
376,377,AMD Radeon HD 6750M
377,378,NVIDIA GeForce 9800M GS
378,379,AMD Radeon HD 6570M
379,380,AMD Radeon HD 7650M
380,381,ATI Mobility Radeon HD 5730
381,382,NVIDIA GeForce GT 435M
382,383,NVIDIA GeForce GT 435M
383,384,AMD Radeon HD 8570M
384,385,NVIDIA GeForce GT 720M
385,386,AMD Radeon HD 6690G2
386,387,NVIDIA GeForce GT 720M
387,388,AMD Radeon HD 6550M
388,389,AMD Radeon HD 6650M
389,390,AMD Radeon R5 M335
390,391,AMD Radeon R5 M335
391,392,AMD Radeon R5 M330
392,393,Intel HD Graphics 615
393,394,NVIDIA GeForce GT 710M
394,395,AMD Radeon HD 8530M
395,396,NVIDIA GeForce GT 625M
396,397,Intel HD Graphics 5500
397,398,Intel UHD Graphics 615
398,399,Intel HD Graphics 520
399,400,AMD Radeon R5 M330
400,401,AMD Radeon R5 M230
401,402,Intel UHD Graphics 610
402,403,AMD Redeon HD 6630M
403,404,NVIDIA GeForce 9700M GTS
404,405,AMD Radeon HD 7610M
405,406,AMD Radeon HD 7570M
406,407,NVIDIA GeForce GT 525M
407,408,AMD Radeon HD 6630M
408,409,Intel HD Graphics 610
409,410,AMD Radeon R5 M240
410,411,Intel HD Graphics 4400
411,412,Intel HD Graphics 515
412,413,AMD Radeon R5 M320
413,414,AMD Radeon R5 M230
414,415,AMD Radeon HD 7550M
415,416,NVIDIA GeForce GT 425M
416,417,NVIDIA GeForce GTS 250M
417,418,AMD Radeon HD 6720G2
418,419,AMD Radeon HD 8330
419,420,NVIDIA GeForce GT 525M
420,421,AMD Radeon HD 7470M
421,422,AMD Radeon R5 M420
422,423,AMD Radeon R5 M315
423,424,AMD Radeon 610
424,425,Qualcomm Adreno 690
425,426,Qualcomm Adreno 685
426,427,AMD Radeon HD 6490M
427,428,NVIDIA GeForce GT 425M
428,429,NVIDIA GeForce GT 520MX
429,430,AMD Radeon HD 6490M
430,431,NVIDIA GeForce GT 330M
431,432,NVIDIA GeForce GT 240M
432,433,AMD Radeon R5
433,434,ATI Mobility Radeon HD 4670
434,435,AMD Radeon HD 7470M
435,436,ATI Mobility Radeon HD 550V
436,437,NVIDIA GeForce GT 240M
437,438,AMD Radeon HD 8350G
438,439,NVIDIA GeForce GT 330M
439,440,AMD Radeon HD 6640G2
440,441,Intel HD Graphics 4200
441,442,AMD Radeon R4
442,443,ATI Mobility Radeon HD 5650
443,444,ATI Radeon HD4650
444,445,Intel HD Graphics 5300
445,446,NVIDIA GeForce GT 330M
446,447,NVIDIA Quadro NVS 5100M
447,448,NVIDIA GeForce 9600M GT
448,449,NVIDIA GeForce 9700M GT
449,450,NVIDIA Quadro FX 1800M
450,451,NVIDIA GeForce GT 420M
451,452,Intel HD Graphics 4000
452,453,AMD Radeon HD 7450M
453,454,ATI Mobility Radeon HD 5730
454,455,AMD Radeon R3
455,456,NVIDIA GeForce GT 420M
456,457,NVIDIA GeForce GT 230M
457,458,NVIDIA GeForce GT 335M
458,459,NVIDIA N12P-NS1
459,460,NVIDIA GeForce 9600M GT + 9400M GS DDR3 256 MB
460,461,AMD Radeon HD 7450M
461,462,AMD Radeon HD 8180
462,463,NVIDIA GeForce GT 220M
463,464,AMD Radeon HD 6510G2
464,465,AMD Radeon HD 6540G2
465,466,AMD Radeon HD 6520G Integrated + HD 6470M
466,467,Intel HD Graphics
467,468,NVIDIA GeForce GT 520M
468,469,AMD Radeon HD 6520G
469,470,NVIDIA GeForce 610M
470,471,NVIDIA GeForce 9500M GT
471,472,AMD Radeon HD 6470M
472,473,NVIDIA GeForce GTS 350
473,474,NVIDIA GeForce GT 520M
474,475,NVIDIA GeForce GT 325M
475,476,NVIDIA Quadro FX770M
476,477,AMD Radeon HD 7430
477,478,NVIDIA GeForce 8700M GT
478,479,NVIDIA GeForce 8900M GTS
479,480,AMD FirePro M5950
480,481,NVIDIA GeForce GT 130M
481,482,NVIDIA GeForce GT 120M
482,483,AMD Radeon HD 6470M
483,484,NVIDIA GeForce 9650M GT
484,485,AMD Radeon R2
485,486,NVIDIA Quadro NVS 4200M
486,487,NVIDIA GeForce 9600M GT + 9400M GS DDR3 512 MB
487,488,NVIDIA GeForce 610M
488,489,NVIDIA GeForce GT 320M
489,490,NVIDIA Quadro FX3700M
490,491,AMD FirePro M3900
491,492,AMD Radeon HD 6480G Integrated + HD 6470M
492,493,NVIDIA GeForce 410M
493,494,NVIDIA GeForce GT 415M
494,495,Intel HD Graphics 505
495,496,AMD Radeon HD 6370M
496,497,NVIDIA GeForce 410M
497,498,AMD Radeon HD 6370M
498,499,Intel HD Graphics 500
499,500,ATI Radeon HD3670
500,501,AMD Radeon HD 6480G
501,502,AMD Radeon HD 6450M
502,503,ATI FireGL V5700
503,504,NVIDIA GeForce 8600M GT - DDR3
504,505,ATI Mobility Radeon HD 540V
505,506,ATI Mobility Radeon HD 5470
506,507,Intel UHD Graphics 605
507,508,AMD Radeon HD 7370M
508,509,NVIDIA Quadro FX 380M
509,510,ATI Mobility Radeon HD 545V
510,511,ATI Mobility Radeon HD 5470
511,512,Intel UHD Graphics 600
512,513,ATI Mobility Radeon HD 5145
513,514,NVIDIA GeForce 9500M GS
514,515,AMD Radeon HD 7340
515,516,NVIDIA Ultra-low power
516,517,AMD Radeon HD 8250
517,518,AMD Radeon HD 8240
518,519,Intel HD Graphics 3000
519,520,AMD Radeon HD 8210
520,521,ATI Mobility Radeon HD 5145
521,522,NVIDIA GeForce 310M
522,523,AMD Radeon HD 8210
523,524,ATI Radeon HD3650
524,525,NVIDIA GeForce GT 315M
525,526,ATI Mobility Radeon HD 5450
526,527,ATI Radeon HD4570
527,528,NVIDIA Quadro NVS3100M
528,529,ATI Mobility Radeon HD 5450
529,530,AMD Radeon HD 7310
530,531,NVIDIA Quadro NVS3100M
531,532,NVIDIA GeForce 310M
532,533,ATI Mobility Radeon X2600
533,534,NVIDIA GeForce 8600M GT
534,535,Intel HD Graphics 2000
535,536,ATI Mobility Radeon HD 5450
536,537,ATI Radeon HD2600
537,538,NVIDIA GeForce 310 M
538,539,NVIDIA GeForce 305M
539,540,ATI Mobility Radeon HD 5430
540,541,NVIDIA GeForce GT 315M
541,542,ATI Mobility Radeon HD 5430
542,543,NVIDIA GeForce 8600M GS - DDR3
543,544,NVIDIA GeForce G 210M
544,545,ATI Mobility Radeon HD 530V
545,546,ATI Mobility Radeon HD 4550
546,547,NVIDIA Quadro FX1600M 512 MB
547,548,ATI Radeon HD4530
548,549,NVIDIA GeForce Go7600
549,550,NVIDIA GeForce Go7700
550,551,AMD Radeon HD 6320
551,552,Nvidia GeForce N10M-GE2-S
552,553,NVIDIA GeForce GT 110M
553,554,NVIDIA GeForce G 110 M
554,555,ATI Mobility Radeon HD 4350
555,556,ATI Radeon HD4330
556,557,ATI Radeon HD3470
557,558,NVIDIA GeForce G 105M
558,559,NVIDIA GeForce GT 105M
559,560,AMD Radeon HD 6310
560,561,Radeon Xpress X1250
561,562,ATI Radeon X2500
562,563,ATI Mobility Radeon HD 4270
563,564,ATI Mobility Radeon X1700
564,565,NVIDIA GeForce 9400M GS
565,566,NVIDIA Quadro FX1500M
566,567,ATI Radeon HD3450
567,568,NVIDIA G218
568,569,NVIDIA GeForce 9300M G
569,570,Nvidia Geforce 9500M GE
570,571,ATI Mobility Radeon HD 4200
571,572,AMD Radeon HD 6290
572,573,Intel GMA HD Graphics
573,574,ATI Mobility Radeon HD 4250
574,575,ATI Mobility Radeon X1600
575,576,NVIDIA GeForce 9200M GS
576,577,AMD Radeon HD 6250
577,578,ATI Radeon HD3400
578,579,NVIDIA GeForce 9200M GE
579,580,ATI Radeon HD2400
580,581,NVIDIA Quadro NVS 150M
581,582,ATI Radeon HD3410
582,583,NVIDIA GeForce GT 102M
583,584,NVIDIA GeForce 9300M GS
584,585,ATI Radeon X2400
585,586,NVIDIA NB8M GS
586,587,ATI Mobility HD 2400 XT
587,588,NVIDIA GeForce 8400M GS
588,589,NVIDIA Geforce 8200M G
589,590,Intel Graphics Media Accelerator
590,591,NVIDIA GeForce 9100M G
591,592,ATi FireGL V5200
592,593,Intel Graphics Media Accelerator
593,594,ATI V5200 256MB
594,595,Intel GFX 5700MHD
595,596,NVIDIA GeForce Go6600
596,597,Intel Unified Memory Architecture
597,598,ATI Mobility Radeon X1350
598,599,ATI Mobility Radeon HD 4225
599,600,ATI Mobility Radeon X1450
600,601,NVIDIA GeForce 8400M GT
601,602,ATI Mobility Radeon X1400
602,603,ATI Radeon HD 3200 Graphics x 64MB
603,604,NVIDIA GeForce 8400M G
604,605,ATI Mobility Radeon X2300
605,606,Intel Extreme Graphics
606,607,ATI Radeon HD2300
607,608,ATI Mobility Radeon X700
608,609,ATI Radeon HD 2200 graphics
609,610,ATI Mobility Radeon X1300
610,611,NVIDIA GeForce Go7400
611,612,NVIDIA GeForce Go7300
612,613,NVIDIA Geforce Go7400 128 MB + Intel 945GM
613,614,NVIDIA G72M-Z
614,615,Intel GMA 4500M HD
615,616,NVIDIA Quadro NVS 110M
616,617,NVIDIA GeForce Go7200
617,618,NVIDIA Quadro NVS 120M
618,619,Intel GMA X3100
619,620,ATI Radeon X1250
620,621,ATI Mobility Radeon X1270
621,622,NVIDIA GeForce 7000M
622,623,Intel US15W Embedded
623,624,ATI Mobility Radeon X600SE
