,gpu,cpu,panel_type,size,resolution,refresh_rate,touch_screen,memory_slot,hard_disk_drive,hdmi,displayport,d_sub_vga,thunderbolt,bluetooth,os_bundle,web_camera,optical_drive,fingerprint,body_material,weight,keyboard_backlit,numpad,other_detail,warranty,m2PCIe_slot,m2Combo_slot,m2SATA_slot,mem_size,mem_type,mem_onboard,ssd_size,usbtype_A,usbtype_C,prices
35,AMD Radeon RX 5500M,AMD Ryzen 7 4800H,IPS,15.6,2073600,144,0,2,no,1,0,0,0,Bluetooth 5.1,Windows 10,HD,0,0,Aluminium + Plastic,1.96,yes,no,no,1,1,1,0,8,DDR4,0,512,2,2,29900
36,AMD Radeon RX 5500M,AMD Ryzen 7 4800H,IPS,15.6,2073600,144,0,2,no,1,0,0,0,Bluetooth 5.0,Windows 10,HD,0,0,Aluminium + Plastic,1.96,yes,no,no,2,1,1,0,16,DDR4,0,512,2,2,34900
37,AMD Radeon RX 5500M,AMD Ryzen 7 4800H,IPS,17.3,2073600,144,0,2,no,1,0,0,0,Bluetooth 5.1,Windows 10,HD,0,0,Aluminium + Plastic,2.2,yes,yes,no,2,1,1,0,8,DDR4,0,512,3,1,35900
38,AMD Radeon RX 5500M,AMD Ryzen 7 4800H,IPS,17.3,2073600,144,0,2,no,1,0,0,0,Bluetooth 5.1,Windows 10,HD,0,0,Aluminium + Plastic,2.2,yes,yes,no,2,1,1,0,16,DDR4,0,512,3,1,37900
39,AMD Radeon RX 5500M,AMD Ryzen 7 4800H,IPS,15.6,2073600,120,0,2,no,1,0,0,0,Bluetooth 5.0,Windows 10,HD,0,0,Plastic,1.96,yes,no,no,2,1,1,0,8,DDR4,0,512,2,2,32990
40,AMD Radeon RX 5500M,AMD Ryzen 7 5800H,IPS,15.6,2073600,144,0,2,no,1,0,0,0,Bluetooth 5.1,Windows 10,HD,0,0,Aluminium + Plastic,1.96,yes,no,no,2,1,1,0,16,DDR4,0,1000,2,2,36900
41,AMD Radeon RX 5500M,AMD Ryzen 7 5800H,IPS,15.6,2073600,144,0,2,no,1,0,0,0,Bluetooth 5.1,Windows 10,HD,0,0,Aluminium + Plastic,1.96,yes,no,no,2,1,1,0,8,DDR4,0,512,2,2,33900
42,AMD Radeon RX 5600M,AMD Ryzen 5 4600H,VA,15.6,2073600,120,0,2,no,1,2,0,0,Bluetooth 4.2,Windows 10,1-2MP,0,0,Aluminium + Plastic,2.5,yes,yes,yes,2,1,0,0,8,DDR4,0,512,2,1,29990
43,AMD Radeon RX 5600M,AMD Ryzen 7 4800H,IPS,15.6,2073600,120,0,2,no,1,2,0,0,Bluetooth 4.1,Windows 10,HD,0,0,Aluminium + Plastic,2.5,yes,yes,no,2,1,0,0,8,DDR4,0,512,2,0,38990
44,AMD Radeon RX 5600M,AMD Ryzen 9 4900H,IPS,15.6,2073600,120,0,2,no,1,2,0,0,Bluetooth 5.1,Windows 10,1-2MP,0,0,Aluminium + Plastic,2.5,yes,yes,yes,2,2,0,0,16,DDR4,0,512,2,0,29990
45,AMD Radeon RX 5600M,AMD Ryzen 9 4900H,IPS,15.6,2073600,120,0,2,no,1,2,0,0,Bluetooth 4.1,Windows 10,HD,0,0,Aluminium + Plastic,2.5,yes,yes,no,2,1,0,0,16,DDR4,0,512,2,0,42990
46,AMD Radeon RX 640,AMD Ryzen 5 4500U,TN,15.6,2073600,60,0,1,no,1,0,0,0,Bluetooth 5.0,Windows 10,HD,0,1,Aluminium,1.8,no,yes,no,2,1,0,0,8,DDR4,0,512,1,1,19990
47,AMD Radeon RX 640,AMD Ryzen 5 4500U,TN,15.6,2073600,60,0,1,no,1,0,0,0,Bluetooth 5.0,Windows 10,HD,0,1,Aluminium,1.8,no,yes,no,2,1,0,0,8,DDR4,0,512,1,1,19990
48,AMD Radeon RX 640,AMD Ryzen 7 4700U,TN,15.6,2073600,60,0,1,no,1,0,0,0,Bluetooth 5.0,Windows 10,HD,0,1,Aluminium,1.8,no,yes,no,2,1,0,0,8,DDR4,0,512,1,1,22990
49,AMD Radeon RX 640,AMD Ryzen 7 4700U,TN,15.6,2073600,60,0,1,no,1,0,0,0,Bluetooth 5.0,Windows 10,HD,0,1,Aluminium,1.8,no,yes,no,2,1,0,0,8,DDR4,0,512,1,1,22990
50,AMD Radeon RX 6500M,AMD Ryzen 5 5600H,IPS,15.6,2073600,144,0,2,no,1,0,0,0,Bluetooth 5.2,Windows 11,HD,0,0,Plastic,2.29,yes,yes,no,2,2,0,0,8,DDR4,0,512,2,1,29990
51,AMD Radeon RX 6600M,AMD Ryzen 5 5600H,IPS,15.6,2073600,60,0,2,no,1,0,0,0,Bluetooth 5.1,Windows 10,HD,0,0,Plastic,2.35,yes,yes,no,2,2,0,0,8,DDR4,0,512,1,1,29990
52,AMD Radeon RX 6600M,AMD Ryzen 5 5600H,IPS,16.1,2073600,144,0,2,no,1,0,0,0,Bluetooth 5.2,Windows 10,HD,0,0,Plastic,2.32,yes,yes,no,3,1,0,0,16,DDR4,0,512,3,1,45990
53,AMD Radeon RX 6600M,AMD Ryzen 7 5800H,IPS,15.6,2073600,144,0,2,no,1,0,0,0,Bluetooth 5.1,Windows 11,HD,0,0,Plastic,2.35,yes,yes,no,2,2,0,0,16,DDR4,0,512,1,1,32490
54,AMD Radeon RX 6600M,AMD Ryzen 7 5800H,IPS,15.6,2073600,60,0,2,no,1,0,0,0,Bluetooth 5.1,Windows 11,HD,0,0,Plastic,2.35,yes,yes,no,2,2,0,0,16,DDR4,0,1000,1,1,33990
