,names,prices,urls,Brand,Model,Model Year,CPU,GPU,Panel Type,Size,Resolution,Refresh Rate,Touch Screen,Memory Size,Memory Slot,Hard Disk Drive,Solid State Drive,M.2 Slot,USB Ports,,HDMI,DisplayPort,D-Sub/VGA,Thunderbolt,Wireless LAN,Ethernet LAN,Bluetooth,OS Bundle,Web Camera,Optical Drive,Fingerprint,Body Material,Body Color,Weight,Battery Type,Keyboard Type,Keyboard Backlit,Numpad,Other Detail,Warranty,Insurance
1377,HP 15-db1003AU,"11,190",https://notebookspec.com/notebook/10743-hp-15-db1003au.html,HP,HP 15-db1003AU,Q1 / 2021,"AMD Ryzen 5 3500U (2.10 GHz up to 3.70 GHz, 4 MB L3 Cache)",AMD Radeon RX Vega 8,IPS,15.6 นิ้ว,15.6 inch (1920x1080) Full HD,60 Hz,ไม่รองรับ,8 GB DDR4,2 Slots,ไม่มี,256 GB SSD PCIe M.2,1 x M.2 Combo,1x USB 2.0,2x USB 3.1 Type A,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11 ac,มี,Bluetooth 4.2,Windows 10 Home (64 Bit),HD Camera,มี,ไม่มี,Plastic,Natural Silver,1.77 kg,3-Cell Li-ion,Chiclet keyboard,มี,มี,,2 Year Onsite Service,ไม่มี
1378,Lenovo IdeaPad Flex 5 14ARE-81X200FQTA,"21,900",https://notebookspec.com/notebook/10742-lenovo-ideapad-flex-5-14are-81x200fqta.html,Lenovo,Lenovo IdeaPad Flex 5 14ARE-81X200FQTA,Q1 / 2021,"AMD Ryzen 7 4700U (2.00 GHz up to 4.10 GHz, 8 MB L3 Cache)",AMD Radeon RX Vega 7,IPS,14 นิ้ว,14 inch (1920x1080) Full HD,60 Hz,รองรับ,8 GB DDR4 On Board,1 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 PCIe,2x USB 3.1 Type A,1x USB 3.1 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11 ac,ไม่มี,Bluetooth 5.0,Windows 10 Home (64 Bit),HD Camera,ไม่มี,มี,Aluminium + Plastic,Graphite Grey,1.5 kg,3-Cell Li-Polymer,Chiclet Keyboard,มี,ไม่มี,Lenovo Digital Pen,2 Year Onsite Service,ไม่มี
1379,Lenovo ideapad L340 15IRH-81LK00NVTA,"23,990",https://notebookspec.com/notebook/10741-lenovo-ideapad-l340-15irh-81lk00nvta.html,Lenovo,Lenovo ideapad L340 15IRH-81LK00NVTA,Q1 / 2021,"Intel Core i5-9300H (2.40 GHz, 8 MB L3 Cache, up to 4.10 GHz)",NVIDIA GeForce GTX 1050 (3GB GDDR5),IPS,15.6 นิ้ว,15.6 inch (1920x1080) Full HD,60 Hz,ไม่รองรับ,8 GB DDR4,2 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 PCIe,2x USB 3.1 Type A,1x USB 3.1 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11 ac,มี,Bluetooth 4.2,Windows 10 Home (64 Bit),HD Camera,ไม่มี,ไม่มี,Aluminium + Plastic,Black,2.19 kg,3-Cell Li-ion,Chiclet Keyboard,มี,มี,,3 Year Onsite Service,ไม่มี
1380,MSI WS66 10TK-206TH,"89,900",https://notebookspec.com/notebook/10740-msi-ws66-10tk-206th.html,MSI,MSI WS66 10TK-206TH,Q1 / 2021,"Intel Core i7-10750H (2.60 GHz, 12 MB L3 Cache, up to 5.00 GHz)",NVIDIA Quadro RTX 3000 (6GB GDDR6),IPS,15.6 นิ้ว,15.6 inch (1920x1080) Full HD,144 Hz,ไม่รองรับ,32 GB DDR4,2 Slots,ไม่มี,1TB SSD M.2 NVMe Gen 3,1 x M.2 Combo,3x USB 3.2 Type A,1x USB 3.2 Type C,1x HDMI,2x DisplayPort,ไม่มี,มี,802.11 ax,มี,Bluetooth 5.0,Windows 10 Home (64 Bit),HD,ไม่มี,ไม่มี,Aluminium + Plastic,Carbon Gray,2.1 kg,4-cell,Chiclet Keyboard,มี,ไม่มี,,2 Y. Carry-in Regional,ไม่มี
1381,Asus Vivobook 17 X712DA-202,19xxx,https://notebookspec.com/notebook/10739-asus-vivobook-17-x712da-202.html,Asus,Asus Vivobook 17 X712DA-202,Q1 / 2021,"AMD Ryzen 7 3700U (2.30 GHz up to 4.00 GHz, 4 MB L3 Cache)",AMD Radeon RX Vega 10,IPS,17.3 นิ้ว,17.3 inch (1600 x 900) HD+,60 Hz,ไม่รองรับ,8 GB DDR4 On Board,2 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 PCIe,2x USB 2.0,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11 ax,ไม่มี,Bluetooth 5.0,Windows 10 Home (64 Bit),HD Camera,ไม่มี,ไม่มี,Aluminium + Plastic,Silver,2.3 kg,3-cell Li-ion,Chiclet,มี,ไม่มี,,2 Y. Carry-in Regional,ไม่มี
1382,Huawei MateBook D14-Nobelb-WAH9C,"23,900",https://notebookspec.com/notebook/10738-huawei-matebook-d14-nobelb-wah9c.html,Huawei,Huawei MateBook D14-Nobelb-WAH9C,Q1 / 2021,"Intel Core i5-10210U (1.60 GHz, 6 MB L3 Cache up to 4.20 Ghz)",NVIDIA GeForce MX250 (2GB GDDR5),IPS,14 นิ้ว,14 inch (1920x1080) Full HD,60 Hz,ไม่รองรับ,8 GB DDR4,1 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 PCIe,2x USB 2.0,1x USB 3.1 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11 ac,ไม่มี,Bluetooth 5.0,Windows 10 Home (64 Bit),HD Camera,ไม่มี,ไม่มี,Aluminum,Mystic Sliver,1.38 kg,2-Cell Li-Polymer,Chiclet Keyboard,มี,ไม่มี,,2 Y. Carry-in Regional,ไม่มี
1383,HP Pavilion x360 Convertible 14-dw1047TU,"19,900",https://notebookspec.com/notebook/10737-hp-pavilion-x360-convertible-14-dw1047tu.html,HP,HP Pavilion x360 Convertible 14-dw1047TU,Q1 / 2021,"Intel Core i3-1115G4 (3.00 GHz, 6 MB L3 Cache up to 4.10 Ghz)",Intel UHD Graphics Xe G4,IPS,14 นิ้ว,14 inch (1920x1080) Full HD,60 Hz,รองรับ,8 GB DDR4,1 Slots,ไม่มี,256 GB SSD PCIe M.2,1 x M.2 PCIe,1x USB 3.1 Type A,1x USB 3.1 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11 ac,ไม่มี,Bluetooth 5.0,Windows 10 Home (64 Bit),HD Camera,ไม่มี,ไม่มี,Aluminum,Silver,1.61 kg,3-cell Li-ion,Chiclet,มี,ไม่มี,,2 Year Onsite Service,ไม่มี
1384,Lenovo Yoga 6 13ARE05-82FN005CTA,"27,900",https://notebookspec.com/notebook/10736-lenovo-yoga-6-13are05-82fn005cta.html,Lenovo,Lenovo Yoga 6 13ARE05-82FN005CTA,Q1 / 2021,"AMD Ryzen 5 PRO 4650U (2.10 GHz up to 4.00 GHz, 8 MB L3 Cache)",AMD Radeon RX Vega 6 (Ryzen 4000),IPS,13.3 นิ้ว,13.3 inch (1920x1080) Full HD,60 Hz,รองรับ,8 GB DDR4 On Board,1 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 PCIe,2x USB 3.2 Type A,2x USB 3.2 Type C,ไม่มี,1x DisplayPort,ไม่มี,ไม่มี,802.11 ax,ไม่มี,Bluetooth 5.0,Windows 10 Home (64 Bit),HD,ไม่มี,ไม่มี,Aluminium + Plastic,Blue,1.32 kg,4-Cell,Chiclet,มี,ไม่มี,Office Home and Student 2019,3 Year Onsite Service,ไม่มี
1385,HP Pavilion 15-eh0002AU,"24,900",https://notebookspec.com/notebook/10735-hp-pavilion-15-eh0002au.html,HP,HP Pavilion 15-eh0002AU,Q1 / 2021,"AMD Ryzen 7 4700U (2.00 GHz up to 4.10 GHz, 8 MB L3 Cache)",AMD Radeon RX Vega 7,IPS,15.6 นิ้ว,15.6 inch (1920x1080) Full HD,60 Hz,ไม่รองรับ,16 GB DDR4,1 Slots,ไม่มี,1TB SSD PCIe M.2,1 x M.2 PCIe,1x USB 2.0,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11 ax,ไม่มี,Bluetooth 5.0,Windows 10 Home (64 Bit),HD,ไม่มี,ไม่มี,Plastic - Covered by Alu,Natural Silver,1.75 kg,3 Cell,Chiclet,มี,มี,Microsoft office Home & Student 2019,2 Y Onsite + 1 Y ADP,ไม่มี
1386,HP Pavilion 15-eh0004AU,"24,900",https://notebookspec.com/notebook/10734-hp-pavilion-15-eh0004au.html,HP,HP Pavilion 15-eh0004AU,Q1 / 2021,"AMD Ryzen 7 4700U (2.00 GHz up to 4.10 GHz, 8 MB L3 Cache)",AMD Radeon RX Vega 7,IPS,15.6 นิ้ว,15.6 inch (1920x1080) Full HD,60 Hz,ไม่รองรับ,16 GB DDR4,1 Slots,ไม่มี,1TB SSD PCIe M.2,1 x M.2 PCIe,1x USB 2.0,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11 ax,ไม่มี,Bluetooth 5.0,Windows 10 Home (64 Bit),HD,ไม่มี,ไม่มี,Plastic - Covered by Alu,Natural Silver,1.75 kg,3 Cell,Chiclet,มี,มี,Office Home and Student 2019,2 Y Onsite + 1 Y ADP,ไม่มี
1387,HP ENVY x360 13-ay0111AU,"35,900",https://notebookspec.com/notebook/10733-hp-envy-x360-13-ay0111au.html,HP,HP ENVY x360 13-ay0111AU,Q1 / 2021,"AMD Ryzen 7 4700U (2.00 GHz up to 4.10 GHz, 8 MB L3 Cache)",AMD Radeon RX Vega 7,IPS,13.3 นิ้ว,13.3 inch (1920x1080) Full HD,60 Hz,รองรับ,16 GB DDR4 On Board,1 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 PCIe,2x USB 3.1 Type A,1x USB 3.1 Type C,ไม่มี,ไม่มี,ไม่มี,ไม่มี,802.11ax,ไม่มี,Bluetooth 5.1,Windows 10 Home (64 Bit),HD Camera,ไม่มี,มี,Aluminum,Nightfall black aluminum,1.3 kg,3-cell Li-ion,Chiclet Keyboard,มี,ไม่มี,Microsoft office Home & Student 2019,3 Year Onsite Service,ไม่มี
1388,Lenovo Legion 5 Pro-,40xxx,https://notebookspec.com/notebook/10732-lenovo-legion-5-pro.html,Lenovo,Lenovo Legion 5 Pro-,Q1 / 2021,"AMD Ryzen 7 5800H (3.20 GHz up to 4.40 GHz, 16 MB L3 Cache)",NVIDIA GeForce RTX 3060 (6GB GDDR6),IPS,16 นิ้ว,"16.0 inch, QHD (2560 x 1600)",165 Hz,ไม่รองรับ,16 GB DDR4,2 Slots,ไม่มี,1TB SSD M.2 NVMe Gen 3,2 x M.2 PCIe,4x USB 3.2 Type A,1x USB 3.2 Type C,1x HDMI,2x DisplayPort,ไม่มี,ไม่มี,802.11 ax,มี,Bluetooth 5.1,Windows 10 Home (64 Bit),HD,ไม่มี,ไม่มี,Aluminium + Plastic,Grey,2.45 kg,Li-Polymer,Chiclet Keyboard,มี,มี,,3 Year Onsite Service,ไม่มี
1389,Asus M515DA-EJ272T,"11,900",https://notebookspec.com/notebook/10731-asus-m515da-ej272t.html,Asus,Asus M515DA-EJ272T,Q1 / 2021,"AMD Athlon Silver 3050U (2.30 GHz up to 3.20 GHz, 4 MB L3 Cache)",AMD Radeon RX Vega 2,IPS,15.6 นิ้ว,15.6 inch (1920x1080) Full HD,60 Hz,ไม่รองรับ,4 GB DDR4 On Board,1 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 PCIe,2x USB 2.0,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11 ac,ไม่มี,Bluetooth 4.1,Windows 10 Home (64 Bit),VGA camera,ไม่มี,ไม่มี,Plastic,Gray,1.8 kg,2-Cell Li-ion,Chiclet,มี,ไม่มี,,2 Y. Carry-in Regional,ไม่มี
1390,Asus X515JA-EJ279T,"23,900",https://notebookspec.com/notebook/10730-asus-x515ja-ej279t.html,Asus,Asus X515JA-EJ279T,Q1 / 2021,"Intel Core i7-1065G7 (1.30 GHz, 8 MB L3 Cache up to 3.90 Ghz)",Intel Iris Plus Graphics G7,IPS,15.6 นิ้ว,15.6 inch (1920x1080) Full HD,60 Hz,ไม่รองรับ,8 GB DDR4 On Board,1 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 PCIe,2x USB 2.0,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11ac,ไม่มี,Bluetooth 4.1,Windows 10 Home (64 Bit),VGA camera,ไม่มี,ไม่มี,Aluminum,Gray,1.8 kg,2-cell,Chiclet,มี,มี,,2 Y. Carry-in Regional,ไม่มี
1391,Lenovo IdeaPad 5 14ARE05-81YM00EYTA,"21,990",https://notebookspec.com/notebook/10729-lenovo-ideapad-5-14are05-81ym00eyta.html,Lenovo,Lenovo IdeaPad 5 14ARE05-81YM00EYTA,Q1 / 2021,"AMD Ryzen 7 4800U (1.80 GHz up to 4.20 GHz, 8 MB L3 Cache)",AMD Radeon RX Vega 8,IPS,14 นิ้ว,14 inch (1920x1080) Full HD,60 Hz,ไม่รองรับ,8 GB DDR4 On Board,1 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 PCIe,2x USB 3.2 Type A,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11 ax (Wi-Fi 6),ไม่มี,Bluetooth 5.0,Windows 10 Home (64 Bit),HD Camera,ไม่มี,มี,Aluminium + Plastic,Graphite Grey,1.39 kg,3-Cell Li-Polymer,Chiclet Keyboard,มี,ไม่มี,,2 Y. Carry-in Regional,ไม่มี
1392,Lenovo ThinkBook 13s G2 ITL-20V9005NTA,"32,100",https://notebookspec.com/notebook/10728-lenovo-thinkbook-13s-g2-itl-20v9005nta.html,Lenovo,Lenovo ThinkBook 13s G2 ITL-20V9005NTA,Q2 / 2021,"Intel Core i7-1165G7 (2.80 GHz, 12 MB L3 Cache up to 4.70 Ghz)",Intel Iris Xe Graphics G7,IPS,13.3 นิ้ว,13.3 inch (2560x1600) IPS,60 Hz,ไม่รองรับ,16 GB DDR4 On Board,1 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 Combo,2x USB 3.2 Type A,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,มี,802.11 ax,ไม่มี,Bluetooth 5.0,Windows 10 Pro 64 (64 Bit),HD Camera,ไม่มี,มี,Aluminum,Mineral Grey,1.26 kg,4-Cell Li-Poly,Chiclet Keyboard,มี,ไม่มี,,1 Y. Carry-in Region,ไม่มี
1393,MSI GP76 Leopard 10UE-449TH,"69,990",https://notebookspec.com/notebook/10727-msi-gp76-leopard-10ue-449th.html,MSI,MSI GP76 Leopard 10UE-449TH,Q2 / 2021,"Intel Core i7-10870H (2.20 GHz, 16 MB L3 Cache, up to 5.0 GHz)",NVIDIA GeForce RTX 3060 (6GB GDDR6),IPS,17.3 นิ้ว,17.3 inch (1920x1080) Full HD,144 Hz,ไม่รองรับ,16 GB DDR4,2 Slots,ไม่มี,1TB SSD M.2 NVMe Gen 3,1 x M.2 PCIe,3x USB 3.2 Type A,2x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11 ax,มี,Bluetooth 5.1,Windows 10 Home (64 Bit),HD Camera,ไม่มี,ไม่มี,Aluminium + Plastic,Black,2.9 kg,4-Cell,Chiclet,มี,มี,,2 Y. Carry-in Regional,ไม่มี
1394,MSI GE66 Raider 10UE-423TH,"79,990",https://notebookspec.com/notebook/10726-msi-ge66-raider-10ue-423th.html,MSI,MSI GE66 Raider 10UE-423TH,Q2 / 2021,"Intel Core i7-10870H (2.20 GHz, 16 MB L3 Cache, up to 5.0 GHz)",NVIDIA GeForce RTX 3060 (6GB GDDR6),IPS,15.6 นิ้ว,15.6 inch (1920x1080) Full HD,240 Hz,ไม่รองรับ,16 GB DDR4,2 Slots,ไม่มี,1TB SSD M.2 NVMe Gen 3,2 x M.2 PCIe,3x USB 3.2 Type A,2x USB 3.2 Type C,1x HDMI,2x DisplayPort,ไม่มี,ไม่มี,802.11 ax,มี,Bluetooth 5.1,Windows 10 Home (64 Bit),HD Camera,ไม่มี,ไม่มี,Aluminium + Plastic,Black,2.38 kg,4-Cell,Chiclet,มี,ไม่มี,,2 Year Onsite Service,ไม่มี
1395,MSI GE66 Raider 10UG-424TH,"99,990",https://notebookspec.com/notebook/10725-msi-ge66-raider-10ug-424th.html,MSI,MSI GE66 Raider 10UG-424TH,Q2 / 2021,"Intel Core i7-10870H (2.20 GHz, 16 MB L3 Cache, up to 5.0 GHz)",NVIDIA GeForce RTX 3070 (8GB GDDR6),IPS,15.6 นิ้ว,15.6 inch (1920x1080) Full HD,240 Hz,ไม่รองรับ,32 GB DDR4,2 Slots,ไม่มี,2TB SSD PCIe M.2,2 x M.2 PCIe,3x USB 3.2 Type A,2x USB 3.2 Type C,1x HDMI,2x DisplayPort,ไม่มี,ไม่มี,802.11 ax,มี,Bluetooth 5.1,Windows 10 Home (64 Bit),HD Camera,ไม่มี,ไม่มี,Aluminium + Plastic,Black,2.38 kg,4-Cell,Chiclet,มี,ไม่มี,,2 Year Onsite Service,ไม่มี
1396,MSI GE76 Raider 10UH-450TH,"159,990",https://notebookspec.com/notebook/10724-msi-ge76-raider-10uh-450th.html,MSI,MSI GE76 Raider 10UH-450TH,Q2 / 2021,"Intel Core i9-10980HK (2.40 GHz, 16 MB L3 Cache, up to 5.30 GHz)",NVIDIA GeForce RTX 3080 (16GB GDDR6),IPS,17.3 นิ้ว,17.3 inch (3840x2160) UHD 4K,60 Hz,ไม่รองรับ,32 GB DDR4,2 Slots,ไม่มี,2TB SSD PCIe M.2,2 x M.2 PCIe,3x USB 3.2 Type A,2x USB 3.2 Type C,1x HDMI,2x DisplayPort,ไม่มี,ไม่มี,802.11 ax,มี,Bluetooth 5.1,Windows 10 Home (64 Bit),HD Camera,ไม่มี,ไม่มี,Aluminium + Plastic,Black,2.9 kg,4-Cell,Chiclet,มี,มี,,2 Year Onsite Service,ไม่มี
1397,HP 15s-fq2017TU,"20,900",https://notebookspec.com/notebook/10723-hp-15s-fq2017tu.html,HP,HP 15s-fq2017TU,Q1 / 2021,"Intel Core i5-1135G7 (2.40 GHz, 8 MB L3 Cache up to 4.20 Ghz)",Intel Iris Xe Graphics G7,IPS,15.6 นิ้ว,15.6 inch (1920x1080) Full HD,60 Hz,ไม่รองรับ,8 GB DDR4,2 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 PCIe,2x USB 3.1 Type A,1x USB 3.1 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11ac,มี,Bluetooth 5.0,Windows 10 Home (64 Bit),HD Camera,ไม่มี,ไม่มี,Plastic,Silver,1.69 kg,3-Cell Li-ion,Chiclet Keyboard,ไม่มี,มี,Microsoft office Home & Student 2019,2 Year Onsite Service,ไม่มี
1398,HP Pavilion 15-eg0034TX,"25,900",https://notebookspec.com/notebook/10722-hp-pavilion-15-eg0034tx.html,HP,HP Pavilion 15-eg0034TX,Q1 / 2021,"Intel Core i5-1135G7 (2.40 GHz, 8 MB L3 Cache up to 4.20 Ghz)",NVIDIA GeForce MX450 (2 GB GDDR6),IPS,15.6 นิ้ว,15.6 inch (1920x1080) Full HD,60 Hz,ไม่รองรับ,8 GB DDR4,1 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 PCIe,1x USB 2.0,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11 ax,ไม่มี,Bluetooth 5.0,Windows 10 Home (64 Bit),HD,ไม่มี,ไม่มี,Plastic - Covered by Alu,Natural Silver,1.75 kg,3 Cell,Chiclet,มี,มี,Microsoft office Home & Student 2019,2 Year Onsite Service,ไม่มี
1399,Asus ZenBook 13 UX325EA-KG001TS,"28,900",https://notebookspec.com/notebook/10721-asus-zenbook-13-ux325ea-kg001ts.html,Asus,Asus ZenBook 13 UX325EA-KG001TS,Q1 / 2021,"Intel Core i5-1135G7 (2.40 GHz, 8 MB L3 Cache up to 4.20 Ghz)",Intel Iris Xe Graphics G7,OLED,13.3 นิ้ว,13.3 inch (1920x1080) Full HD,60 Hz,รองรับ,8 GB DDR4 On Board,1 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 PCIe,1x USB 3.2 Type A,2x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,มี,802.11 ax (Wi-Fi 6),มี,Bluetooth 5.0,Windows 10 Home (64 Bit),3D IR HD camera,ไม่มี,ไม่มี,Aluminium + Plastic,Pine Gray,1.11 kg,4-Cell,Chiclet Keyboard,มี,มี,Microsoft office Home & Student 2019,3 Year Onsite Service,ไม่มี
1400,Asus TUF Gaming A15 FA506QR-HN035T,"42,900",https://notebookspec.com/notebook/10720-asus-tuf-gaming-a15-fa506qr-hn035t.html,Asus,Asus TUF Gaming A15 FA506QR-HN035T,Q2 / 2021,"AMD Ryzen 7 5800H (3.20 GHz up to 4.40 GHz, 16 MB L3 Cache)",NVIDIA GeForce RTX 3070 (8GB GDDR6),IPS,15.6 นิ้ว,15.6 inch (1920x1080) Full HD,144 Hz,ไม่รองรับ,16 GB DDR4,1 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 PCIe,3x USB 3.2 Type A,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11 ax,ไม่มี,Bluetooth 5.1,Windows 10 Home (64 Bit),HD,ไม่มี,ไม่มี,Aluminum,Eclipse Gray,2.3 kg,4-cell Li ion,Chiclet Keyboard RGB,มี,มี,,2 Y. Carry-in Regional,ไม่มี
1401,Lenovo ThinkBook 13s G2 ITL-20V9005PTA,"27,755",https://notebookspec.com/notebook/10719-lenovo-thinkbook-13s-g2-itl-20v9005pta.html,Lenovo,Lenovo ThinkBook 13s G2 ITL-20V9005PTA,Q2 / 2021,"Intel Core i5-1135G7 (2.40 GHz, 8 MB L3 Cache up to 4.20 Ghz)",Intel Iris Xe Graphics G7,IPS,13.3 นิ้ว,13.3 inch (2560x1600) IPS,60 Hz,ไม่รองรับ,16 GB DDR4 On Board,1 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 Combo,2x USB 3.2 Type A,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,มี,802.11 ax,ไม่มี,Bluetooth 5.0,Windows 10 Pro 64 (64 Bit),HD Camera,ไม่มี,มี,Aluminum,Mineral Grey,1.26 kg,4-Cell Li-Poly,Chiclet Keyboard,มี,ไม่มี,,1 Y. Carry-in Region,ไม่มี
1402,Lenovo IdeaPad 5 15ITL05-82FG00M3TA,"22,400",https://notebookspec.com/notebook/10718-lenovo-ideapad-5-15itl05-82fg00m3ta.html,Lenovo,Lenovo IdeaPad 5 15ITL05-82FG00M3TA,Q1 / 2021,"Intel Core i5-1135G7 (2.40 GHz, 8 MB L3 Cache up to 4.20 Ghz)",Intel Iris Xe Graphics G7,IPS,15.6 นิ้ว,15.6 inch (1920x1080) Full HD,60 Hz,ไม่รองรับ,8 GB DDR4,1 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 PCIe,2x USB 3.2 Type A,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11 ax (Wi-Fi 6),ไม่มี,Bluetooth 5.1,Windows 10 Home (64 Bit),HD Camera,ไม่มี,มี,Aluminium + Plastic,Graphite Grey,1.66 kg,3-Cell Li-ion,Chiclet Keyboard,มี,ไม่มี,,2 Year Onsite Service,ไม่มี
1403,Asus TUF Gaming A15 FA506QR-AZ001T,"46,900",https://notebookspec.com/notebook/10717-asus-tuf-gaming-a15-fa506qr-az001t.html,Asus,Asus TUF Gaming A15 FA506QR-AZ001T,Q2 / 2021,"AMD Ryzen 7 5800H (3.20 GHz up to 4.40 GHz, 16 MB L3 Cache)",NVIDIA GeForce RTX 3070 (8GB GDDR6),IPS,15.6 นิ้ว,15.6 inch (1920x1080) Full HD,240 Hz,ไม่รองรับ,16 GB DDR4,1 Slots,ไม่มี,1TB SSD M.2 NVMe Gen 3,1 x M.2 PCIe,3x USB 3.2 Type A,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11 ax,ไม่มี,Bluetooth 5.1,Windows 10 Home (64 Bit),HD,ไม่มี,ไม่มี,Aluminum,Eclipse Gray,2.3 kg,4-cell Li ion,Chiclet Keyboard RGB,มี,มี,,2 Y. Carry-in Regional,ไม่มี
1404,Acer Porsche Design Acer Book RS-AP714-51GT-75JB,"59,990",https://notebookspec.com/notebook/10716-acer-porsche-design-acer-book-rs-ap714-51gt-75jb.html,Acer,Acer Porsche Design Acer Book RS-AP714-51GT-75JB,Q1 / 2022,"Intel Core i7-1165G7 (2.80 GHz, 12 MB L3 Cache up to 4.70 Ghz)",NVIDIA GeForce MX350 (2GB GDDR5),IPS,14 นิ้ว,14 inch (1920x1080) Full HD,60 Hz,รองรับ,16 GB LPDDR4x On Board,1 Slots,ไม่มี,1TB SSD PCIe M.2,1 x M.2 PCIe,2x USB 3.2 Type A,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11ax (Wi-Fi 6),ไม่มี,Bluetooth 5.1,Windows 10 Home (64 Bit),HD camera,ไม่มี,มี,Aluminum,Black,1.2 kg,"Li-ion, 56WHrs",Chiclet Keyboard,มี,ไม่มี,Microsoft office Home & Student 2019,3 Year Onsite Service,ไม่มี
1405,Lenovo Yoga Slim 7i Carbon 13ITL5-82EV0051TA,"34,990",https://notebookspec.com/notebook/10715-lenovo-yoga-slim-7i-carbon-13itl5-82ev0051ta.html,Lenovo,Lenovo Yoga Slim 7i Carbon 13ITL5-82EV0051TA,Q1 / 2021,"Intel Core i5-1135G7 (2.40 GHz, 8 MB L3 Cache up to 4.20 Ghz)",Intel Iris Xe Graphics G7,IPS,13.3 นิ้ว,13.3 inch (2560x1600) QHD,60 Hz,ไม่รองรับ,16 GB DDR4 On Board,1 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 PCIe,3x USB 3.2 Type C,,ไม่มี,ไม่มี,ไม่มี,มี,802.11 ax,ไม่มี,Bluetooth 5.0,Windows 10 Home Single Language (64 Bit),HD Camera,ไม่มี,ไม่มี,Aluminum,Carbon,1 kg,4-Cell Li-Polymer,Chiclet,มี,ไม่มี,Microsoft office Home & Student 2019,3 Year Onsite Service,ไม่มี
1406,Lenovo IdeaPad 5 15ITL05-82FG00M4TA,"26,400",https://notebookspec.com/notebook/10714-lenovo-ideapad-5-15itl05-82fg00m4ta.html,Lenovo,Lenovo IdeaPad 5 15ITL05-82FG00M4TA,Q1 / 2021,"Intel Core i7-1165G7 (2.80 GHz, 12 MB L3 Cache up to 4.70 Ghz)",Intel Iris Xe Graphics G7,IPS,15.6 นิ้ว,15.6 inch (1920x1080) Full HD,60 Hz,ไม่รองรับ,8 GB DDR4,1 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 PCIe,2x USB 3.2 Type A,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11 ax (Wi-Fi 6),ไม่มี,Bluetooth 5.1,Windows 10 Home (64 Bit),HD Camera,ไม่มี,มี,Aluminium + Plastic,Graphite Grey,1.66 kg,3-Cell Li-ion,Chiclet Keyboard,มี,ไม่มี,Microsoft Office Home & Student 2019,2 Year Onsite Service,ไม่มี
